IATA,ICAO,Airline,Country/Region
,GHP,Colvin Aviation,United States
,GCM,Comair Flight Services,South Africa
,CDE,Comed Group,United Kingdom
,CVV,Comeravia,Venezuela
,CRS,Comercial Aérea,Mexico
,CMG,Comet Airlines,Nigeria
,FYN,Comfort Air,Germany
,CMJ,Comfort Jet Services,Togo
,CLA,Comlux Aviation,Switzerland
,KAZ,Comlux Kazakhstan,Kazakhstan
,MLM,Comlux Malta,Malta
,CXB,Comlux Aruba,Aruba
,CMH,Commair Aviation,United Kingdom
,CTM,Commandement Du Transport Aerien Militaire Francais,France
,CML,Commander Air Charter,Canada
,CRM,Commander Mexicana,Mexico
,CME,Commerce Bank,United States
,CMS,Commercial Aviation,Canada
,GAR,Commodore Aviation,Australia
,CJS,Commonwealth Jet Service,United States
,CGR,Compagnia Generale Ripreseaeree,Italy
,CMM,Compagnie Aérienne du Mali,Mali
,CPM,Compagnie Mauritanienne Des Transports,Mauritania
,GIC,Compagnie de Bauxites de Guinee,Guinea
,AIF,Compañía Aérea de Valencia,Spain
,ATF,Compañía Aerotécnicas Fotográficas,Spain
,LCT,Compañía De Actividades Y Servicios De Aviación,Spain
,EJV,Compania Ejecutiva,Mexico
,HSE,Compania Helicopteros Del Sureste,Spain
,MDR,Compania Mexicana De Aeroplanos,Mexico
,HSS,Compañía Transportes Aéreos Del Sur,Spain
,TAV,Compañía de Servicios Aéreos Tavisa,Spain
,CYF,Company Flight,Denmark
,CPS,Compass International Airways,United Kingdom
,XCO,Compuflight Operations Service,United States
,XCS,Compuserve Incorporated,United States
,CRC,Conair Aviation,Canada
,COD,Concordavia,Ukraine
,CNR,Condor Aero Services,United States
,CIB,Condor,Germany
,COF,Confort Air,Canada
,CAK,Congo Air,Bahamas
,CGA,Congressional Air,United States
,ROY,Conifair Aviation,Canada
,CCT,Connect Air,Canada
,BSN,Connectair Charters,Canada
,CAC,Conquest Airlines,United States
,CXO,Conroe Aviation Services,United States
,VCH,Consorcio Helitec,Venezuela
,UZA,Constanta Airline,Ukraine
,KIS,Contactair,Germany
,XCL,Contel ASC,United States
,CNW,Continental Airways,Moldovoa
,CON,Continental Oil,United States
,CKA,Cook Inlet Aviation,United States
,SVY,Cooper Aerial Surveys,United Kingdom
,CAT,Copenhagen Air Taxi,Denmark
,COP,Copper State Air Service,United States
,AAQ,Copterline,Finland
,CRA,Coronado Aerolíneas,Colombia
,CPB,Corpac Canada,Canada
,CNC,Corporación Aéreo Cencor,Mexico
,CPG,Corporacion Aeroangeles,Mexico
,CGY,Corporacion Paraguaya De Aeronautica,Paraguay
,CPT,Corporate Air,United States
,CPR,Corporate Air,United States
,CPO,Corporate Aircraft Company,United States
,COO,Corporate Airlink,Canada
,CKE,Corporate Aviation Services,United States
,VHT,Corporate Flight International,United States
,CJI,Corporate Jets,United States
,COT,Costa Airlines,Venezuela
,CHI,Cougar Helicopters,Canada
,MGB,Coulson Flying Service,United Kingdom
,NSW,Country Connection Airlines,Australia
,CIK,Country International Airlines,Kyrgyzstan
,CSD,Courier Services,United States
,CUT,Court Helicopters,South Africa
,OU,Court Line,United Kingdom
,CVL,Coval Air,Canada
,COW,COWI,Denmark
,CFD,Cranfield University,United Kingdom
,CRE,Cree Airways,Canada
,ELM,Crelam,Mexico
,CAN,Crest Aviation,United Kingdom
,KRM,Crimea Universal Avia,Ukraine
,HRZ,Croatian Air Force,Croatia
,CRX,Cross Aviation,United Kingdom
,CWX,Crow Executive Air,United States
,CKR,Crown Air Systems,United States
,CRO,Crown Airways,United States
,CRW,Crownair,Canada
,VCR,Cruiser Linhas Aéreas,Brazil
,CTY,Cryderman Air Service,United States
,CYT,Crystal Shamrock Airlines,United States
,IRO,CSA Air,United States
,CTF,Cutter Aviation,United States
,CBL,Cumberland Airways (Nicholson Air Service),United States
,CTT,Custom Air Transport,United States
,RGN,Cygnus Air,Spain
,CYC,Cyprair Tours,Cyprus
,CYS,Cypress Airlines,Canada
,CEF,Czech Air Force,Czech Republic
,AHD,Czech Air Handling,Czech Republic
,CIE,Czech Government Flying Service,Czech Republic
,HNL,CHC Helicopters Netherlands,Netherlands
,JLH,Centro de Servicio Aeronautico,Mexico
,FCB,Cobalt,Cyprus
,CVK,CAVOK Airlines,Ukraine
,CRN,Carson Air Ltd,Canada
,,,
,ABA,Aero-Beta,Germany
,DJT,Dreamjet,France
,DPJ,Delta Private Jets,United States
,DJR,Desert Jet,United States
,DLA,Air Dolomiti,Italy
,DLC,Dehong South Asian General Aviation,China
,DNS,Dniproaviaservis Company,Ukraine
,DRF,Dream Flyers Training Center,Spain
,DMF,DMCFLY,Mexico
,NAU,Danaus Lineas Aereas,Mexico
,GDF,DF Aviation,Ukraine
,DDA,D & D Aviation,United States
,DNK,D&K Aviation,United States
,DHE,DAP Helicopteros,Chile
,VLF,DFS UK Limited,United Kingdom
,RKC,DAS Airlines,Democratic Republic of the Congo
,ENT,DAT Enterprise Limited,United Kingdom
,BDN,DERA Boscombe Down,United Kingdom
,DSN,DESNA,Ukraine
,DET,DETA Air,Kazakhstan
,DGO,DGO Jet,Mexico
,DAE,DHL Aero Expreso,Panama
,DHV,DHL Aviation,South Africa
,RSK,DSWA,United States
,DHA,Dahla Airlines,Democratic Republic of Congo
,DCS,DC Aviation,Germany
,DCX,Daimler-Chrysler,United States
,DKA,Daka,Kazakhstan
,DLR,Dala Air Services,Nigeria
,DXP,Dallas Express Airlines,United States
,DAS,Damascene Airways,Syrian Arab Republic
,DSA,Danbury Airways,United States
,DOP,Dancopter,Denmark
,DAF,Danish Air Force,Denmark
,DAR,Danish Army,Denmark
,DNY,Danish Navy,Denmark
,DNU,Danu Oro Transportas,Lithuania
,DRT,Darta,France
,DSQ,Dasab Airlines,Uganda
,DSH,Dash Air Charter,United States
,GOB,Dash Aviation,United Kingdom
,DGX,Dasnair,Switzerland
,DAB,Dassault Aviation,France
,CVF,Dassault Falcon Jet Corporation,United States
,DSO,Dassault Falcon Service,France
,DTN,Data International,Sudan
,XDT,Date Transformation Corp,United States
,DCO,David Crawshaw Consultants Limited,United Kingdom
,DWN,Dawn Air,United States
,DJS,DayJet,United States
,DAY,Daya Aviation,Sri Lanka
,DHC,De Havilland,Canada
,IAY,Deadalos Flugtbetriebs,Austria
,DAA,Decatur Aviation,United States
,DKN,Deccan Charters,India
,JDC,Deere and Company,United States
,DWR,Delaware Skyways,United States
,DEA,Delta Aerotaxi,Italy
,SNO,Delta Air Charter,Canada
,ELJ,Delta Private Jets,United States
,KMB,Delta Engineering Aviation,United Kingdom
,DLI,Delta Express International,Ukraine
,DSU,Delta State University,United States
,FEC,Denver Express,United States
,DJT,Denver Jet,United States
,FGC,Departament d'Agricultura de la Generalitat de Catalunya,Spain
,DRY,Deraya Air Taxi,Indonesia
,DRX,Des R Cargo Express,Mauritania
,MIZ,Desarrollo Milaz,Mexico
,DTY,Destiny Air Services,Sierra Leone
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV,Germany
,DIS,Di Air,Serbia
,SPK,Diamond Aviation,United States
,DRB,Didier Rousset Buy,Chile
,DGT,Digital Equipment Corporation,United States
,DIP,Diplomatic Freight Services,United Kingdom
,ENA,Dirección General de Aviación Civil y Telecomunicasciones,Spain
,DIA,Direct Air,United States
,XAP,Direct Air trading as Midway Connection,United States
,DCT,Direct Flight,United Kingdom
,SXP,Direct Fly,Poland
,DCV,Discover Air,United States
,XDS,Dispatch Services,United States
,DIX,Dix Aviation,Germany
,DEE,Dixie Airways,United States
,FDN,Dolphin Air,United Arab Emirates
,IXX,Dolphin Express Airlines,United States
,DPL,Dome Petroleum,Canada
,MYO,Dominguez Toledo (Grupo Mayoral),Spain
,DVB,Don Avia,Kazakhstan
,DON,Donair Flying Club,United Kingdom
,DAD,Dorado Air,Dominican Republic
,DOR,Dornier,Germany
,DAV,Dornier Aviation Nigeria,Nigeria
,DOM,Dos Mundos,Dominican Republic
,DCA,Dreamcatcher Airways,United Kingdom
,DRE,Drummond Island Air,United States
,DUB,Dubai Airwing,United Arab Emirates
,DBK,Dubrovnik Air,Croatia
,DUK,Ducair,Luxembourg
,DBJ,Duchess of Brittany (Jersey) Limited,United Kingdom
,LPD,UK Royal/HRH Duke of York,United Kingdom
,DUN,Dun'Air,Mauritania
,PHD,Duncan Aviation,United States
,VVF,Dunyaya Bakis Hava Tasimaciligi,Turkey
,DUO,Duo Airways,United Kingdom
,DJE,Durango Jet,Mexico
,DNL,Dutch Antilles Express,Netherlands Antilles
,DCE,Dutch Caribbean Express,Netherlands Antilles
,DBR,Dutchbird,Netherlands
,DBR,Dobrolet LLC,Russia
,DFS,Dwyer Aircraft Services,United States
,XDY,Dynair Services,United States
,DNR,Dynamair Aviation,Canada
,DYE,Dynamic Air,Netherlands
,DYA,Dynamic Airways,United States
,EAV,Eagle Airlines Luftverkehrsges,Austria
,ABU,Eagle Aviation Services,United States
,ISL,Eastland Air Services (Flugfélag Austurlands),Iceland
,EBF,Echo Airlines,Bahamas
,ENK,Executive Airlink,United States
,ELN,Eleron Aviation Company,Ukraine
,ECC,Eclair Aviation,Czech Republic
,ELU,Egyptian Leisure Airlines,Egypt
,MNU,Elite Airways,United States
,,Europe Jet,Turkey
,EHD,E H Darby Aviation,United States
,EXW,Executive Airlines Services,Nigeria
,EFS,EFAOS- Agencia De Viagens e Turismo,Angola
,EFD,Eisele Flugdienst,Germany
,FSD,EFS-Flugservice,Germany
,EIS,EIS Aircraft,Germany
,IAG,EPAG,France
,ESI,ESI Eliservizi Italiani,Italy
,EUY,EU Airways,Ireland
,ICR,Eagle Aero,United States
,FEI,Eagle Air,Iceland
,,Eagle Air,Indonesia
,EGR,Eagle Air,Sierra Leone
,EFL,Eagle Air,Tanzania
,EGX,Eagle Air Company,Thailand
,GYP,Eagle Aviation,United Kingdom
,EGN,Eagle Aviation France,France
,EES,Eagle Express,Serbia
,SEG,Eagle International,Senegal
,EGJ,Eagle Jet Charter,United States
,EMD,Eaglemed (Ballard Aviation),United States
,ERX,Earth Airlines Services,Nigeria
,EXZ,East African Safari Air Express,Kenya
,EMU,East Asia Airlines,Macao
,ECT,East Coast Airways,South Africa
,ECJ,East Coast Jets,United States
,EHA,East Hampton Aire,United States
,EKC,East Kansas City Aviation,United States
,CTK,East Midlands Helicopters,United Kingdom
,DXH,East Star Airlines,China
,EWA,East-West Airlines,Australia
,EAZ,Eastern Air,Zambia
,EAX,Eastern Air Executive,United Kingdom
,EAL,Eastern Air Lines,United States
,ECI,Eastern Carolina Aviation,United States
,GNS,Eastern Executive Air Charter,United Kingdom
,LIS,Eastern Express,Kazakhstan
,EME,Eastern Metro Express,United States
,EPB,Eastern Pacific Aviation,Canada
,ESJ,Eastern SkyJets,United Arab Emirates
,FYE,Easy Link Aviation Services,Nigeria
,CMN,Eckles Aircraft,United States
,EJT,Eclipse Aviation,United States
,ECQ,Eco Air,Nigeria
,DEI,Ecoair,Algeria
,NAK,École Nationale de l'Aviation Civile,France
,ECX,Ecomex Air Cargo,Angola
,ECD,Ecotour,Mexico
,XCC,Ecoturistica de Xcalak,Mexico
,ECV,Ecuatoguineana De Aviación (EGA),Equatorial Guinea
,EQC,Ecuatorial Cargo,Equatorial Guinea
,ECU,Ecuavia,Ecuador
,SLO,Edgartown Air,United States
,EDC,Air Charter Scotland,United Kingdom
,EDJ,Edwards Jet Center of Montana,United States
,EIJ,Efata Papua Airlines,Indonesia
,EUW,EFS European Flight Service,Sweden
,MSX,Egyptair Cargo,Egypt
,EGY,Egyptian Air Force,Egypt
,EJX,Egyptian Aviation,Egypt
,EMA,Egyptian Aviation Company,Egypt
,EIX,Ei Air Exports,Ireland
,EIR,Eirjet,Ireland
,CMX,El Caminante Taxi Aéreo,Mexico
,GLQ,El Quilada International Aviation,Sudan
,ELS,El Sal Air,El Salvador
,ESC,El Sol De América,Venezuela
,ELX,Elan Express,United States
,LBR,Elbe Air Transport,Germany
,NLK,Elbrus-Avia Air Enterprise,Russia
,DND,Eldinder Aviation,Sudan
,PDV,Elicar,Italy
,EDO,Elidolomiti,Italy
,ELB,Elieuro,Italy
,EFG,Elifriulia,Italy
,ELH,Elilario Italia,Italy
,EOA,Elilombarda,Italy
,MEE,Elimediterranea,Italy
,VUL,Elios,Italy
,IEP,Elipiu',Italy
,RSA,Elisra Airlines,Sudan
,EAI,Elite Air,Togo
,EJD,Elite Jets,United Arab Emirates
,FGS,Elitellina,Italy
,ELT,Elliott Aviation,United States
,MGG,Elmagal Aviation Services,Sudan
,ELR,Elrom Aviation and Investments,Israel
,EAM,Embassy Airlines,Nigeria
,EFT,Embassy Freight Company,United States
,EMB,Empresa Brasileira De Aeronáutica,Brazil
,XSL,Embry-Riddle Aeronautical University,United States
,JEM,Emerald Airways,United Kingdom
,EWW,Emery Worldwide Airlines,United States
,EMT,Emetebe,Ecuador
,SBC,Emoyeni Air Charter,South Africa
,EMP,Empire Air Service,United States
,MPR,Empire Aviation Services,Nigeria
,ETP,Empire Test Pilots' School,United Kingdom
,AUO,"Empresa (Aero Uruguay), S.A.",Uruguay
,PRG,Empresa Aero-Servicios Parrague,Chile
,CRN,Aero Caribbean,Cuba
,VNA,Empresa Aviación Interamericana,Uruguay
,CNI,Empresa Nacional De Servicios Aéreos,Cuba
,VNE,Empresa Venezolana,Venezuela
,GTV,Empresa de Aviación Aerogaviota,Cuba
,XLT,Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,Brazil
,ENC,Endecots,Ecuador
,ENI,Enimex,Estonia
,EGV,Enrique Gleisner Vivanco,Chile
,ESE,Ensenada Vuelos Especiales,Mexico
,ENS,Entergy Services,United States
,EWS,Enterprise World Airways,Democratic Republic of the Congo
,EKA,Equaflight Service,Republic of the Congo
,EQZ,Equatair Air Services (Zambia),Zambia
,EQT,Equatorial Airlines,Equatorial Guinea
,ERH,Era Helicopters,United States
,IRY,Eram Air,Iran
,ERF,Erfoto,Portugal
,ERE,Erie Airways,United States
,EAD,Escola De Aviacao Aerocondor,Portugal
,CTV,Escuela De Pilotos Are Aviación,Spain
,EPC,Espace Aviation Services,Democratic Republic of the Congo
,ERC,Esso Resources Canada,Canada
,EEF,Estonian Air Force,Estonia
,ETA,Estrellas Del Aire,Mexico
,MJM,Eti 2000,Italy
,ETM,Etram Air Wing,Angola
,EVN,Euraviation,Italy
,ECN,Euro Continental AIE,Spain
,ESN,Euro Sun,Turkey
,EAK,Euro-Asia Air,Kazakhstan
,KZE,Euro-Asia Air International,Kazakhstan
,GOJ,EuroJet Aviation,United Kingdom
,EUP,Pan Europeenne Air Service,France
,EUU,Euroamerican Air,Uruguay
,ECY,Euroceltic Airways,United Kingdom
,EUC,Eurocontrol,Belgium
,ECF,Eurocopter,France
,EEU,Eurofly Service,Italy
,EUG,Euroguineana de Aviación,Equatorial Guinea
,ERJ,Eurojet Italia,Italy
,JLN,Eurojet Limited,Malta
,RDP,Eurojet Romania,Romania
,EJS,Eurojet Servis,Czech Republic
,GED,Europe Air Lines,France
,EUT,European 2000 Airlines,Malta
,EAG,European Aeronautical Group UK,United Kingdom
,EBJ,European Business Jets,United Kingdom
,ECB,European Coastal Airlines,Croatia
,ETV,European Executive,United Kingdom
,EXC,European Executive Express,Sweden
,EBG,Eurosense,Bulgaria
,ESX,Euroskylink,United Kingdom
,EVE,Evelop Airlines,Spain
,EVK,Everett Aviation,Kenya
,EVT,Everett Limited,Tanzania
,VTS,Everts Air Alaska/Everts Air Cargo,United States
,EVL,Evolem Aviation,France
,EMN,Examiner Training Agency,United Kingdom
,XEL,Excel Charter,United Kingdom
,GZA,Excellent Air,Germany
,VCN,Execujet Charter,Switzerland
,EJO,Execujet Middle East,United Arab Emirates
,VMP,Execujet Scandinavia,Denmark
,LFL,Executive Air,Zimbabwe
,EAC,Executive Air Charter,United States
,XAF,Executive Air Fleet,United States
,ECS,Executive Aircraft Charter and Charter Services,Ireland
,XAH,Executive Aircraft Services,United Kingdom
,EXU,Executive Airlines,Spain
,JTR,Executive Aviation Services,United Kingdom
,EXE,Executive Flight,United States
,TRI,Executive Flight Operations Ontario Government,Canada
,EXJ,Executive Jet Charter,United Kingdom
,EJM,Executive Jet Management,United States
,TEA,Executive Turbine Aviation,South Africa
,EXF,Eximflight,Mexico
,EXN,Exin,Poland
,EXR,Expertos En Carga,Mexico
,FXA,Express Air,United States
,EIC,Express International Cargo,São Tomé and Príncipe
,XPL,Express Line Aircompany,United States
,XNA,Express Net Airlines,United States
,XTO,Express Tours,Canada
,XSL,Excel-Aire Service,United States
,LTD,Executive Express Aviation/JA Air Charter,United States
,XSR,Executive Flight Services,United States
,EPR,Express Airways,Slovenia
,XRO,ExxAero,Netherlands
,JTM,Exxavia Limited,Ireland
,EZJ,Ezjet GT,Guyana
,FRX,Fort Aero,Estonia
,PBR,Fast Air,Canada
,SRE,Fly Jetstream Aviation,South Africa
,FTZ,Fastjet,Tanzania
,FAP,F Air,Czech Republic
,FFL,ForeFlight,United States
,EYE,F.S. Air Service,United States
,IFA,FAI Air Service,Germany
,FLC,FINFO Flight Inspection Aircraft,United States
,FKI,FLM Aviation Mohrdieck,Germany
,DCM,FLTPLAN (anonymized service),United States
,FLW,FLowair Aviation,France
,FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,Germany
,FRA,FR Aviation,United Kingdom
,FSB,FSB Flugservice & Development,Germany
,LEJ,FSH Luftfahrtunternehmen,Germany
,FBA,Fab Air,Kyrgyzstan
,FCS,Facts Air,Mexico
,FAV,Fair Aviation,South Africa
,FWD,Fair Wind Air Charter,United Arab Emirates
,FLS,Fairlines,Netherlands
,FFC,Fairoaks Flight Centre,United Kingdom
,FWY,Fairways Corporation,United States
,FCN,Falcon Air,Sweden
,FAR,Falcon Air,Slovenia
,FAO,Falcon Air Express,United States
,FAU,Falcon Airline,Nigeria
,FBU,French Bee,France
,FVS,Falcon Aviation Services,United Arab Emirates
,FJC,Falcon Jet Centre,United Kingdom
,FAW,Falwell Aviation,United States
,FDL,Farmingdale State University,United States
,FAH,Farnair Hungary,Hungary
,FRN,Farnair Netherlands,Netherlands
,FAT,ASL Airlines Switzerland,Switzerland
,RAF,Farnas Aviation Services,Sudan
,HBL,Faroecopter,Denmark
,FRW,Farwest Airlines,United States
,FHL,Fast Helicopters,United Kingdom
,FAY,Fayban Air Services,Nigeria
,SKM,Fayetteville Flying Service and Scheduled Skyways System,United States
,FDR,Federal Air,South Africa
,FLL,Federal Airlines,Sweden
,DCN,Federal Armed Forces,Germany
,FRM,Federal Armored Service,United States
,NHK,Federal Aviation Administration,United States
,FNK,Feniks Airline,Kazakhstan
,FER,Feria Aviación,Spain
,FAK,Financial Airxpress,United States
,FBF,Fine Airlines,United States
,FTR,Finist'air,France
,FNF,Finnish Air Force,Finland
,FIH,FinnHEMS,Finland
,JRF,First Air Transport,Japan
,FCC,First Cambodia Airlines,Cambodia
,FCA,Fly-Coop Air Service,Hungary
,MBL,First City Air,United Kingdom
,GGA,First Flying Squadron,United States
,FIR,First Line Air,Sierra Leone
,FTS,First Sabre,Mexico
,FFP,Fischer Air Polska,Poland
,FSX,Flagship Express Services,United States
,WAF,Flamenco Airways,United States
,FMR,Flamingo Air,United States
,FLN,Flamingo Air-Line,Kazakhstan
,FSH,Flash Airlines,Egypt
,BWY,Fleet Requirements Air Direction Unit,United Kingdom
,FLR,Fleetair,South Africa
,FXY,Flexair,Netherlands
,FXT,Flexflight,Denmark
,TUD,Flight Alaska,United States
,FCK,FCS Flight Calibration Services,Germany
,VOR,Flight Calibration Services Ltd.,United Kingdom
,FCV,Flight Centre Victoria,Canada
,FCP,Nelson Aviation College Ltd,New Zealand
,FDP,Flight Dispatch Services,Poland
,FLX,"Flight Express, Inc.",United States
,CFI,Flight Inspection Center of the General Administration of Civil Aviation in China,China
,LTS,Flight Inspections and Systems,Russia
,IVJ,Flight International,United States
,MIT,Flight Line,United States
,FOI,Flight Ops International,United States
,OPT,Flight Options,United States
,CLB,Flight Precision Limited,United Kingdom
,FSL,Flight Safety Limited,United Kingdom
,FSU,Flight Support Sweden,Sweden
,CCK,Flight Trac,United States
,AYR,Flight Training Europe,Spain
,FWQ,Flight West Airlines,Australia
,KLO,Flight-Ops International,Canada
,CSK,Flightcraft,United States
,FEX,Flightexec,Canada
,FTL,Flightline,Spain
,FPS,Flightpass Limited,United Kingdom
,FSR,Flightstar Corporation,United States
,KDZ,Flightworks,United States
,FAZ,Flint Aviation Services,United States
,KWX,Florida Aerocharter,United States
,OJY,Florida Air,United States
,FAS,Florida Air Cargo,United States
,FFS,Florida Department of Agriculture,United States
,FJS,Florida Jet Service,United States
,FFG,Flugdienst Fehlhaber,Germany
,FLU,Flugschule Basel,Switzerland
,EZB,Flugschule Eichenberger,Switzerland
,FWZ,Flugwerkzeuge Aviation Software,Austria
,VNX,Fly Advance,United States
,FCT,Fly CI Limited,United Kingdom
,FEE,Fly Europa Limited,United Kingdom
,FXL,Fly Excellent,Sweden
,NVJ,Fly International Airways,Tunisia
,FIL,Fly Line,Spain
,FRB,Fly Rak,United Arab Emirates
,FYA,Flyant,Spain
,FCE,Flycolumbia,Spain
,GVG,Flygaktiebolaget Gota Vingar,Sweden
,FPA,Flygprestanda,Sweden
,ETS,Flygtransporter I Nykoping,Sweden
,INU,Flyguppdraget Backamo,Sweden
,FCR,Flying Carpet Company,Lebanon
,FYG,Flying Service,Belgium
,FGP,Flying-Research Aerogeophysical Center,Russia
,FLK,Flylink Express,Spain
,FTM,Flyteam Aviation,United Kingdom
,FMI,FMI Air,Myanmar
,FKS,Focus Air,United States
,FOP,Fokker,Netherlands
,NOF,Fonnafly,Norway
,FOB,Ford Motor Company,United Kingdom
,FOR,Formula One Management,United Kingdom
,FHS,Forth and Clyde Helicopter Services,United Kingdom
,FXC,Fortunair Canada,Canada
,FSA,Foster Aviation,United States
,JFY,Foster Yeoman,United Kingdom
,FTE,Fotografia F3,Spain
,WDS,Four Winds Aviation,United States
,FXR,Foxair,Italy
,FDO,France Douanes,France
,FFF,Freedom Air Services,Nigeria
,FRL,Freedom Airlines,United States
,FAS,Freedom Airways,Cyprus
,FWC,Freeway Air,Netherlands
,FRG,Freight Runners Express,United States
,FAF,Force Aerienne Francaise,France
,FMY,Aviation Legere De L'Armee De Terre,France
,FNY,France Marine Nationale,France
,FRR,Fresh Air,Nigeria
,BZY,Fresh Air Aviation,United States
,FAE,Freshaer,United Kingdom
,FAL,Friendship Air Alaska,United States
,FLF,Friendship Airlines,Uganda
,FGY,Froggy Corporate Aviation,Australia
,ITR,Frontier Commuter,United States
,FNG,Frontier Guard,Finland
,FUJ,Fujairah Aviation Centre,United Arab Emirates
,CFJ,Fujian Airlines,China
,GAX,Full Express,United States
,FAM,Fumigación Aérea Andaluza,Spain
,FFY,Fun Flying Thai Air Service,Thailand
,ROG,FundaciÃ³ Rego,Spain
,FUN,Funtshi Aviation Service,Democratic Republic of the Congo
,FGL,Futura Gael,Ireland
,FWK,Flightworks,United States
,ACT,Flight Line,United States
,FRF,Fleet Air International,Hungary
,FUM,Fuxion Line Mexico,Mexico
,FWR,FlightAware,United States
,GML,G & L Aviation,South Africa
,DBC,Gemini Air Group,United States
,GOP,Gospa Air,Mexico
,HGT,GMJ Air Shuttle,United States
,GRE,Greenlandcopter,Denmark
,GMQ,Germania Express,Germany
,KNM,GB Helicopters,United Kingdom
,GCW,Global Air Crew,Denmark
,GBH,Global Avia Handling,Russia
,EXH,G5 Executive,Switzerland
,MTA,GAK/Mitchell Aero,United States
,GGS,GATSA,Mexico
,GBX,GB Airlink,United States
,GCS,GCS Air Service,United States
,FFU,GEC Marconi Avionics,United Kingdom
,GCC,GECAS,Ireland
,GEN,GENSA,Brazil
,GET,Get High,Portugal
,GET,GETRA,Equatorial Guinea
,GFW,GFW Aviation,Australia
,GGT,Trans Island Airways,Bahamas
,GHI,GH Stansted Limited,United Kingdom
,GPE,GP Express Airlines,United States
,GPR,GPM Aeroservicio,Mexico
,GIB,GR-Avia,Guinea
,BMK,GST Aero Aircompany,Kazakhstan
,GTX,GTA Air,United States
,GAH,Ga-Ma Helicoptere,France
,GBE,Gabon Express,Gabon
,GRT,Gabon-Air-Transport,Gabon
,GIG,Gacela Air Cargo,Mexico
,GFC,Gail Force Express,United States
,GNJ,Gain Jet Aviation,Greece
,SWF,Galair International,United Kingdom
,GLS,Galaircervis,Ukraine
,GXY,Galaxy Airlines,Japan
,GAS,Galena Air Service,United States
,GMA,Gama Aviation,United Kingdom
,GCH,Gama Aviation Switzerland,Switzerland
,NML,Gambia New Millennium Air,Gambia
,GMJ,Gamisa Aviación,Spain
,GAN,Gander Aviation,Canada
,GSA,Garden State Airlines,United States
,AHM,Garrison Aviation,Canada
,GHS,Gatari Hutama Air Services,Indonesia
,EGO,Gauteng Air Cargo,South Africa
,GVN,Gavina,Spain
,GEE,Geesair,Canada
,GLX,Gelix Airlines,Russia
,GAB,Gendall Air,Canada
,GDB,Gendarmerie Belge,Belgium
,FGN,National Gendarmerie,France
,SWK,General Aerospace,Canada
,GWS,General Airways,South Africa
,GNZ,General Aviation,Poland
,GTH,General Aviation Flying Services,United States
,XGA,General Aviation Terminal,Canada
,GMC,General Motors,United States
,GNX,Genex,Belarus
,GSL,Geographic Air Surveys,Canada
,FGA,Georgian Aviation Federation,Georgia
,GGF,Georgian Cargo Airlines Africa,Senegal
,,Great Barrier Airlines,New Zealand
,GAF,German Air Force,Germany
,GAM,German Army,Germany
,GNY,German Navy,Germany
,GHY,German Sky Airlines,Germany
,GDN,Gerry's Dnata,Pakistan
,GFD,Gesellschaft Fur Flugzieldarstellung,Germany
,GES,Gestair,Spain
,GTR,Gestar,Chile
,GJT,Gestión Aérea Ejecutiva,Spain
,GHT,Ghadames Air Transport,Libya
,NTC,Gibson Aviation,United States
,RPS,Global Air Charter,United States
,GAG,Greybird Pilot Academy,Denmark
,DMJ,Global Air,Mexico
,GBS,Global Air Services Nigeria,Nigeria
,GLC,Global Aircargo,Bahrain
,,Global Airways (Turks and Caicos),Turks and Caicos Islands
,BSP,Global Airways (BSP),Democratic Republic of Congo
,GLB,Global Airways (GLB),United States
,GBB,Global Aviation Operations,South Africa
,GAK,Global Aviation and Services Group,Libya
,GGZ,Global Georgian Airways,Georgia
,GLJ,Global Jet Austria,Austria
,NSM,Global Jet Corporation,United States
,SVW,Global Jet Luxembourg,Luxembourg
,GSK,Global Sky Aircharter,United States
,GSS,Global Supply Systems,United Kingdom
,XGS,Global System,United States
,XGW,Global Weather Dynamics,United States
,GLW,Global Wings,Japan
,GJA,Globe Jet,Lebanon
,GAC,GlobeAir,Austria
,GGE,Gobierno De Guinea Ecuatorial,Equatorial Guinea
,GOF,Gof-Air,Mexico
,GOI,Gofir,Switzerland
,GBT,Gold Belt Air Transport,Canada
,GDA,GoldAir,United Kingdom
,GDK,Goldeck-Flug,Austria
,GDD,Golden Airlines,United States
,GPA,Golden Pacific Airlines,United States
,GRS,Golden Rule Airlines,Kyrgyzstan
,GLD,Golden Star Air Cargo,Sudan
,GOS,Goldfields Air Services,Australia
,GAQ,Golfe Air Quebec,Canada
,GLE,Goliaf Air,São Tomé and Príncipe
,GOM,Gomel Airlines,Belarus
,RDR,Goodridge (UK) Limited,United Kingdom
,GOR,Gorlitsa Airlines,Ukraine
,HKG,Government Flying Service,Hong Kong SAR of China
,GRZ,Government of Zambia Communications Flight,Zambia
,HLD,Grampian Flight Centre,United Kingdom
,GAV,Granada Aviación,Spain
,GAE,Grand Aire Express,United States
,GND,Grand Airways,United States
,CVU,Grand Canyon Airlines,United States
,LMK,Grantex Aviation,United Kingdom
,GRA,Great American Airways,United States
,GRA,Guardian Air Asset Management,South Africa
,GLU,Great Lakes Airways (Uganda),Uganda
,GRP,Great Plains Airlines,United States
